Product Name,URL,Price,Image URL
"Creatine Cherry Chews","https://www.organifishop.com/products/creatine-cherry-chews","$42.99","https://www.organifishop.com/cdn/shop/files/Organifi_Cherry_Chews_TP_533x.png?v=1736450167"
"Shilajit Gummies","https://www.organifishop.com/products/shilajit-gummies","$69.95","https://www.organifishop.com/cdn/shop/files/091923-Web-ConsistentRenders-CD-V1_Shilajit-Front_ee992858-009c-4be0-aa60-7a19e02d2c1d_533x.png?v=1699296628"
"Organifi Parasite Cleanse Kit","https://www.organifishop.com/products/organifi-parasite-cleanse-kit","$118.95","https://www.organifishop.com/cdn/shop/files/Bind_and_Restore_Bottle_2_1_533x.png?v=1768832040"
"Organifi Hydrogen Water","https://www.organifishop.com/products/organifi-hydrogen-water","$39.97","https://www.organifishop.com/cdn/shop/files/ORGANIFI-RENDER_copy_1_533x.jpg?v=1757953011"
"Happy Drops","https://www.organifishop.com/products/happy-drops","$43.94","https://www.organifishop.com/cdn/shop/files/HappyDropsRenderFront_533x.png?v=1737492473"
"Sunrise to Sunset Kit","https://www.organifishop.com/products/sunrise-to-sunset-power-box","$178.38","https://www.organifishop.com/cdn/shop/files/230825-Website-Renders-NEW-Pouches-Kits-All_SunriseToSunsetKit_533x.png?v=1694708750"
"Red Juice","https://www.organifishop.com/products/red","$69.95","https://www.organifishop.com/cdn/shop/files/091923-Web-ConsistentRenders-CD-V1_Red-Front_6615602d-2e89-441f-8375-47e3c3a34fd1_533x.png?v=1699296533"
"Green Juice","https://www.organifishop.com/products/green","$69.95","https://www.organifishop.com/cdn/shop/files/green-juice-single-canister_pdp_533x.jpg?v=1775584076"
"Harmony","https://www.organifishop.com/products/harmony","$69.95","https://www.organifishop.com/cdn/shop/files/091923-Web-ConsistentRenders-CD-V1_Harmony-Front_2c858e84-1ae3-4075-b6f6-4ac8a2409678_533x.png?v=1699296045"
"Gold Chocolate","https://www.organifishop.com/products/organifi-gold-hot-chocolate","$69.95","https://www.organifishop.com/cdn/shop/files/091923-Web-ConsistentRenders-CD-V1_Gold-Choc-Front_83d14829-0ac9-4c67-b2db-aa0330bfd8b4_533x.png?v=1699295868"
"Immunity","https://www.organifishop.com/products/organifi-immunity-boost-beta-glucan","$39.95","https://www.organifishop.com/cdn/shop/files/immunity-product-img-carousel_533x533_e12e01d7-d373-43d7-87a3-4488a7ec1792_533x.png?v=1699464310"
"Glow","https://www.organifishop.com/products/glow","$69.95","https://www.organifishop.com/cdn/shop/files/Glow_Front_Render_533x.png?v=1687816809"
